001,01,03,RUTOmisionMarcajes,0000000000,00,00,12,12,24,00,00,00,00,00,0000000000,0000000000,    0.00,    0.00
001,01,03,RUTOmisionMarcajes,0000000000,07,00,12,12,24,00,00,00,00,00,0000000000,0000000000,    0.00,    0.00
001,01,01,RUTMarcajeMultiple,0000000000,08,10,12,12,24,00,00,00,00,00,0000000000,0000000000,    0.00,    0.00
001,01,01,RUTMarcajeMultiple,0000000000,08,11,12,12,24,00,00,00,00,00,0000000000,0000000000,    0.00,    0.00
001,01,01,RUTMarcajeMultiple,0000000000,08,13,12,12,24,00,00,00,00,00,0000000000,0000000000,    0.00,    0.00
001,01,01,RUTMarcajeMultiple,0000000000,08,18,12,12,24,00,00,00,00,00,0000000000,0000000000,    0.00,    0.00
001,01,01,RUTMarcajeMultiple,0000000000,08,18,12,12,24,00,00,00,00,00,0000000000,0000000000,    0.00,    0.00
001,01,01,RUTErrorDeMarcajes,0000000000,08,00,12,12,24,00,00,00,00,00,0000000000,0000000000,    0.00,    0.00
001,01,01,RUTErrorDeMarcajes,0000000000,15,30,12,13,24,00,00,00,00,00,0000000000,0000000000,    0.00,    0.00





